sample_id,year,special,channel,coder,coder_id,news_unanimous,news_majority,news_coded,geography_unanimous,geography_majority,geography_coded
73,1968,TRUE,CBS,1,45126470,hard,hard,hard,national,national,national
73,1968,TRUE,CBS,2,45544038,hard,hard,hard,national,national,national
73,1968,TRUE,CBS,3,45440113,hard,hard,hard,national,national,national
647165,1969,FALSE,NBC,1,45369365,hard,hard,hard,NA,international,international
647165,1969,FALSE,NBC,2,45602847,hard,hard,hard,NA,international,not_clear
647165,1969,FALSE,NBC,3,45684966,hard,hard,hard,NA,international,international
12975,1969,FALSE,ABC,1,45686939,NA,hard,hard,NA,international,national
12975,1969,FALSE,ABC,2,45651313,NA,hard,hard,NA,international,international
12975,1969,FALSE,ABC,3,45543632,NA,hard,soft,NA,international,international
647685,1969,FALSE,ABC,1,45566891,hard,hard,hard,NA,international,international
647685,1969,FALSE,ABC,2,45574470,hard,hard,hard,NA,international,national
647685,1969,FALSE,ABC,3,45603481,hard,hard,hard,NA,international,international
654112,1969,FALSE,NBC,1,45348963,hard,hard,hard,NA,national,national
654112,1969,FALSE,NBC,2,45664524,hard,hard,hard,NA,national,national
654112,1969,FALSE,NBC,3,45686939,hard,hard,hard,NA,national,international
1050,1969,FALSE,ABC,1,45566891,hard,hard,hard,NA,NA,international
1050,1969,FALSE,ABC,2,45710744,hard,hard,hard,NA,NA,national
1050,1969,FALSE,ABC,3,45298997,hard,hard,hard,NA,NA,local
7392,1969,FALSE,CBS,1,45710586,NA,hard,hard,NA,national,national
7392,1969,FALSE,CBS,2,45454762,NA,hard,hard,NA,national,international
7392,1969,FALSE,CBS,3,45541575,NA,hard,soft,NA,national,national
8847,1969,FALSE,NBC,1,45566891,hard,hard,hard,NA,national,international
8847,1969,FALSE,NBC,2,45478596,hard,hard,hard,NA,national,national
8847,1969,FALSE,NBC,3,45636004,hard,hard,hard,NA,national,national
16338,1969,FALSE,NBC,1,45602918,hard,hard,hard,NA,international,international
16338,1969,FALSE,NBC,2,45710744,hard,hard,hard,NA,international,national
16338,1969,FALSE,NBC,3,45601077,hard,hard,hard,NA,international,international
875,1969,FALSE,ABC,1,45710586,hard,hard,hard,national,national,national
875,1969,FALSE,ABC,2,45454762,hard,hard,hard,national,national,national
875,1969,FALSE,ABC,3,45541575,hard,hard,hard,national,national,national
646504,1969,FALSE,NBC,1,45369365,hard,hard,hard,NA,national,national
646504,1969,FALSE,NBC,2,45710263,hard,hard,hard,NA,national,local
646504,1969,FALSE,NBC,3,45602600,hard,hard,hard,NA,national,national
12185,1969,FALSE,CBS,1,45686939,hard,hard,hard,NA,national,national
12185,1969,FALSE,CBS,2,45541643,hard,hard,hard,NA,national,local
12185,1969,FALSE,CBS,3,45485760,hard,hard,hard,NA,national,national
8699,1969,FALSE,ABC,1,45710586,hard,hard,hard,NA,national,national
8699,1969,FALSE,ABC,2,45454762,hard,hard,hard,NA,national,international
8699,1969,FALSE,ABC,3,45541575,hard,hard,hard,NA,national,national
8877,1969,FALSE,ABC,1,45686939,hard,hard,hard,national,national,national
8877,1969,FALSE,ABC,2,45598929,hard,hard,hard,national,national,national
8877,1969,FALSE,ABC,3,45690795,hard,hard,hard,national,national,national
6692,1969,FALSE,CBS,1,45566891,hard,hard,hard,NA,local,international
6692,1969,FALSE,CBS,2,45464287,hard,hard,hard,NA,local,local
6692,1969,FALSE,CBS,3,45654496,hard,hard,hard,NA,local,local
5538,1969,FALSE,CBS,1,45651313,hard,hard,hard,local,local,local
5538,1969,FALSE,CBS,2,45190806,hard,hard,hard,local,local,local
5538,1969,FALSE,CBS,3,45485760,hard,hard,hard,local,local,local
3198,1969,FALSE,NBC,1,45489719,NA,hard,hard,NA,national,international
3198,1969,FALSE,NBC,2,45706904,NA,hard,soft,NA,national,national
3198,1969,FALSE,NBC,3,45710586,NA,hard,hard,NA,national,national
4420,1969,FALSE,CBS,1,45369365,hard,hard,hard,national,national,national
4420,1969,FALSE,CBS,2,45689555,hard,hard,hard,national,national,national
4420,1969,FALSE,CBS,3,45597788,hard,hard,hard,national,national,national
16195,1969,FALSE,NBC,1,45541643,hard,hard,hard,NA,national,national
16195,1969,FALSE,NBC,2,45710744,hard,hard,hard,NA,national,national
16195,1969,FALSE,NBC,3,45710586,hard,hard,hard,NA,national,local
643416,1969,TRUE,CBS,1,45541643,hard,hard,hard,national,national,national
643416,1969,TRUE,CBS,2,45598929,hard,hard,hard,national,national,national
643416,1969,TRUE,CBS,3,45558473,hard,hard,hard,national,national,national
643149,1969,FALSE,NBC,1,45651313,NA,hard,hard,NA,international,national
643149,1969,FALSE,NBC,2,45599621,NA,hard,soft,NA,international,international
643149,1969,FALSE,NBC,3,45634755,NA,hard,hard,NA,international,international
7499,1969,FALSE,ABC,1,45566891,hard,hard,hard,international,international,international
7499,1969,FALSE,ABC,2,45369365,hard,hard,hard,international,international,international
7499,1969,FALSE,ABC,3,45602918,hard,hard,hard,international,international,international
650632,1969,FALSE,NBC,1,45190806,hard,hard,hard,NA,national,national
650632,1969,FALSE,NBC,2,45689555,hard,hard,hard,NA,national,local
650632,1969,FALSE,NBC,3,45278443,hard,hard,hard,NA,national,national
3003,1969,FALSE,ABC,1,45710744,hard,hard,hard,international,international,international
3003,1969,FALSE,ABC,2,45542238,hard,hard,hard,international,international,international
3003,1969,FALSE,ABC,3,45534905,hard,hard,hard,international,international,international
5986,1969,FALSE,NBC,1,45598929,hard,hard,hard,national,national,national
5986,1969,FALSE,NBC,2,45526263,hard,hard,hard,national,national,national
5986,1969,FALSE,NBC,3,45636004,hard,hard,hard,national,national,national
